Date,Time,Datetime,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,SN,F10.7obs,F10.7adj,ap_value,Kp_value
2023-08-17,10:00:00,2023-08-17 10:00:00,1,7.01,6.79,7.26,-2.36,-3.77,-0.83,6.5,5.87,7.16,0.15,-2.41,1.45,107.41,96.63,119.25,1.22,-20.72,11.73,1.04,0.48,2.1,450.4,431.3,477.4,60180,36674,158848,146.0,151.9,155.7,2,0.333
2023-08-17,11:00:00,2023-08-17 11:00:00,1,7.04,6.9,7.21,-2.3,-2.94,-1.23,5.41,3.89,6.45,-3.84,-5.64,0.3,111.61,103.95,118.98,-32.94,-53.59,2.47,1.86,0.78,2.94,319.3,308.6,449.8,15720,7224,53435,146.0,151.9,155.7,0,1.0
2023-08-17,12:00:00,2023-08-17 12:00:00,1,6.41,6.05,6.88,0.04,-2.89,1.14,5.37,2.62,6.13,-3.49,-5.39,-2.26,91.88,69.02,118.26,-31.74,-62.98,-20.79,4.82,3.43,5.53,320.3,315.7,326.6,20152,17087,23733,146.0,151.9,155.7,6,1.667
2023-08-17,13:00:00,2023-08-17 13:00:00,1,6.45,5.98,6.76,-1.75,-3.07,-0.31,5.87,4.59,6.63,-1.56,-3.56,-0.55,106.82,92.55,119.82,-14.18,-34.33,-4.96,4.55,3.83,6.25,322.8,317.4,331.9,18743,14430,21238,146.0,151.9,155.7,6,1.667
2023-08-17,14:00:00,2023-08-17 14:00:00,1,6.42,4.87,7.07,-2.6,-3.42,-1.31,5.28,4.44,6.24,-1.63,-2.59,0.69,115.04,104.07,121.81,-14.18,-22.82,7.95,5.36,2.8,10.13,321.7,314.7,327.5,17953,12422,19008,146.0,151.9,155.7,0,1.0
2023-08-17,15:00:00,2023-08-17 15:00:00,1,7.41,4.98,8.81,-4.15,-5.55,-1.46,4.32,2.03,5.48,-4.31,-6.32,0.65,132.63,106.09,151.97,-35.09,-55.6,7.13,10.73,9.05,13.49,329.6,322.3,335.8,16323,13067,19494,146.0,151.9,155.7,7,2.0
2023-08-17,16:00:00,2023-08-17 16:00:00,1,8.07,6.54,9.21,-4.71,-5.68,1.62,5.33,-0.17,5.98,-1.89,-4.31,8.83,119.64,8.46,354.55,-13.54,-28.62,80.39,13.95,10.0,16.3,332.8,317.6,337.3,21230,16497,28813,146.0,151.9,155.7,7,2.0
2023-08-17,17:00:00,2023-08-17 17:00:00,1,8.46,6.59,9.13,-1.67,-4.41,1.07,3.11,1.64,5.48,7.59,2.25,8.65,107.71,54.42,132.0,64.13,19.08,75.21,15.0,13.11,20.33,323.1,318.7,329.9,23308,19734,27693,146.0,151.9,155.7,0,1.0
2023-08-17,18:00:00,2023-08-17 18:00:00,1,7.62,5.83,8.65,-0.57,-3.91,1.28,3.81,-0.8,6.33,6.46,2.56,7.93,100.64,64.68,187.44,58.46,20.85,80.03,19.44,17.63,20.77,320.5,314.8,329.9,26679,21681,29958,146.0,151.9,155.7,5,1.333
2023-08-17,19:00:00,2023-08-17 19:00:00,1,8.34,6.87,10.1,1.95,-2.87,3.85,-4.14,-6.01,5.1,6.34,3.73,9.27,297.29,107.46,332.02,51.01,27.44,82.87,19.18,15.5,22.13,320.7,312.5,328.0,26240,20941,29975,146.0,151.9,155.7,5,1.333
2023-08-17,20:00:00,2023-08-17 20:00:00,1,9.99,9.48,11.03,0.64,-0.7,4.04,-4.54,-8.05,-2.79,8.79,3.79,10.71,278.59,256.42,298.4,62.25,23.02,75.66,16.57,13.52,21.97,324.0,321.2,328.1,22285,20484,26705,146.0,151.9,155.7,0,1.0
2023-08-17,21:00:00,2023-08-17 21:00:00,1,10.31,8.98,10.92,-1.06,-5.46,3.44,-2.97,-6.95,0.07,9.67,6.23,10.4,249.73,176.62,298.27,66.38,38.47,80.95,20.18,17.09,22.43,330.3,321.6,340.1,27104,23000,29903,146.0,151.9,155.7,3,0.667
2023-08-17,22:00:00,2023-08-17 22:00:00,1,9.67,8.44,10.85,4.99,-2.08,6.94,-4.81,-7.63,-0.96,5.38,0.89,10.77,295.24,212.49,324.18,33.26,5.75,82.74,19.7,15.8,21.96,324.1,319.3,331.9,36366,26658,43864,146.0,151.9,155.7,3,0.667
2023-08-17,23:00:00,2023-08-17 23:00:00,1,8.36,6.96,9.86,5.29,-1.88,7.04,-4.74,-6.08,-0.38,3.08,-7.22,8.78,318.31,245.33,345.51,20.94,-84.88,72.21,19.28,16.48,21.76,322.4,312.4,331.3,47843,38208,61100,146.0,151.9,155.7,0,1.0
2023-08-18,00:00:00,2023-08-18 00:00:00,1,8.39,5.24,9.32,4.64,-2.05,7.06,-5.75,-7.73,-1.03,-1.25,-6.98,4.73,308.27,245.12,350.95,-8.0,-53.72,38.16,19.02,16.34,20.6,321.0,313.5,327.1,52200,43586,85027,124.0,150.6,154.4,7,2.0
2023-08-18,01:00:00,2023-08-18 01:00:00,1,9.65,8.67,14.4,5.07,-3.13,9.2,-3.2,-6.21,2.76,-7.42,-9.64,9.57,334.07,1.93,355.28,-50.13,-81.62,44.6,16.9,10.41,20.08,319.8,309.9,343.5,53884,48182,62786,124.0,150.6,154.4,7,2.0
2023-08-18,02:00:00,2023-08-18 02:00:00,1,13.63,11.8,15.43,9.61,5.32,10.86,-7.72,-10.6,1.68,4.29,-6.94,11.2,324.72,8.8,355.67,19.26,-33.72,46.12,7.61,5.4,12.5,375.7,345.7,455.3,96431,52996,206196,124.0,150.6,154.4,0,2.0
2023-08-18,03:00:00,2023-08-18 03:00:00,1,13.28,12.19,13.8,8.55,5.13,10.02,-9.02,-10.39,-3.18,3.84,-4.0,10.98,317.91,304.92,334.9,17.38,-17.66,58.34,7.79,6.01,9.11,450.0,440.4,458.6,206310,182455,247080,124.0,150.6,154.4,7,2.0
2023-08-18,04:00:00,2023-08-18 04:00:00,1,13.33,12.94,13.79,9.75,4.65,10.89,-8.71,-11.2,-6.48,-1.95,-6.79,4.37,316.25,292.89,328.99,-8.24,-30.18,19.13,7.49,5.97,8.31,448.3,438.8,454.6,210959,193360,230138,124.0,150.6,154.4,7,2.0
2023-08-18,05:00:00,2023-08-18 05:00:00,1,12.63,11.61,13.15,7.53,3.59,10.63,-8.97,-10.64,-3.2,1.93,-9.9,9.06,314.13,294.59,343.02,9.5,-48.92,43.8,6.82,5.59,8.2,445.8,434.2,451.5,210443,149405,225150,124.0,150.6,154.4,0,2.0
2023-08-18,06:00:00,2023-08-18 06:00:00,1,13.18,11.71,14.34,8.88,6.72,10.57,-4.46,-9.34,-1.42,7.66,-9.02,10.58,331.78,310.9,351.48,35.89,-49.79,53.21,5.39,4.42,6.63,430.9,426.0,445.9,149146,123767,213402,124.0,150.6,154.4,15,3.0
2023-08-18,07:00:00,2023-08-18 07:00:00,1,11.98,11.38,12.92,7.8,2.56,10.42,-7.34,-8.95,-2.58,-4.39,-11.05,4.35,314.24,294.08,338.47,-21.76,-72.37,23.64,6.68,4.7,8.75,458.5,434.1,488.1,209080,147808,287544,124.0,150.6,154.4,15,3.0
2023-08-18,08:00:00,2023-08-18 08:00:00,1,9.75,9.07,11.79,6.96,4.85,9.22,-6.85,-9.33,-1.79,0.31,-7.39,3.1,319.11,300.17,343.82,1.85,-54.09,19.02,6.99,5.68,8.71,479.1,461.9,497.3,230037,154604,303112,124.0,150.6,154.4,0,2.0
2023-08-18,09:00:00,2023-08-18 09:00:00,1,10.41,9.82,11.12,6.61,3.16,8.94,-6.9,-9.98,0.2,-2.02,-6.95,6.67,316.54,1.49,351.81,-11.46,-44.46,40.34,6.85,5.15,8.35,478.9,461.7,497.0,223829,101618,331056,124.0,150.6,154.4,15,3.0
2023-08-18,10:00:00,2023-08-18 10:00:00,1,9.94,9.51,10.41,6.73,1.48,10.22,-2.37,-5.94,0.58,5.97,-2.75,9.49,340.0,0.2,357.58,38.24,-15.35,79.35,6.29,5.04,8.68,471.7,449.1,499.9,201287,103779,290400,124.0,150.6,154.4,15,3.0
2023-08-18,11:00:00,2023-08-18 11:00:00,1,10.39,10.0,10.98,4.15,1.18,5.94,-0.5,-4.81,2.2,9.37,6.49,10.28,354.66,0.15,355.95,62.96,39.67,77.37,7.05,5.92,9.9,486.6,460.1,500.0,217936,97236,357213,124.0,150.6,154.4,0,2.0
2023-08-18,12:00:00,2023-08-18 12:00:00,1,11.3,10.54,11.94,1.03,-3.94,7.41,1.62,-6.32,6.01,9.98,5.1,11.33,50.3,6.64,348.89,64.01,27.4,82.02,7.76,6.11,9.97,490.4,469.9,506.1,215686,94025,344211,124.0,150.6,154.4,5,1.333
2023-08-18,13:00:00,2023-08-18 13:00:00,1,11.17,10.9,11.45,6.83,5.36,8.1,-6.33,-8.86,-0.24,5.73,-0.79,8.78,320.1,305.59,358.01,31.22,-4.14,52.56,7.61,6.61,8.82,474.3,468.2,488.8,178508,89701,213038,124.0,150.6,154.4,5,1.333
2023-08-18,14:00:00,2023-08-18 14:00:00,1,10.74,10.2,11.13,6.73,2.62,8.23,-7.32,-8.83,-4.34,1.21,-5.84,8.64,312.13,288.14,326.77,6.59,-33.16,58.98,6.95,5.61,10.88,478.3,460.8,500.2,202425,96836,365593,124.0,150.6,154.4,0,2.0
2023-08-18,15:00:00,2023-08-18 15:00:00,1,8.85,7.99,10.26,7.07,2.66,7.76,-4.49,-9.04,-2.31,0.69,-3.63,7.19,323.82,286.42,338.77,4.59,-25.29,51.88,8.0,6.65,9.08,474.6,471.0,499.0,241152,103694,269923,124.0,150.6,154.4,9,2.333
2023-08-18,16:00:00,2023-08-18 16:00:00,1,8.49,7.62,8.94,4.81,2.34,6.38,-5.21,-7.22,-2.31,3.71,-1.46,7.75,313.25,294.5,331.17,26.06,-10.9,64.73,7.93,6.21,10.43,488.2,470.0,501.7,229705,105607,314981,124.0,150.6,154.4,9,2.333
2023-08-18,17:00:00,2023-08-18 17:00:00,1,7.37,6.23,7.84,3.7,-0.28,5.59,-5.39,-6.74,-3.48,2.34,-2.43,4.42,305.64,267.61,327.73,18.03,-23.69,41.12,7.51,6.07,9.88,493.4,475.4,510.2,231186,109071,377625,124.0,150.6,154.4,0,2.0
2023-08-18,18:00:00,2023-08-18 18:00:00,1,6.53,5.93,6.91,2.89,-2.57,4.34,-5.44,-6.35,-3.03,-1.41,-5.42,2.8,297.77,245.3,321.35,-12.84,-58.33,24.81,7.74,5.48,9.32,498.9,479.7,509.2,269097,110457,392073,124.0,150.6,154.4,9,2.333
2023-08-18,19:00:00,2023-08-18 19:00:00,1,6.32,5.95,6.56,2.5,-0.18,4.37,-5.21,-6.18,-3.41,0.99,-2.61,4.5,295.96,268.14,320.6,9.0,-24.81,47.48,7.21,5.54,9.17,492.8,474.9,507.7,251759,99761,379134,124.0,150.6,154.4,9,2.333
2023-08-18,20:00:00,2023-08-18 20:00:00,1,6.52,6.0,6.91,4.73,-0.17,6.22,-3.78,-6.14,-1.12,0.44,-4.61,3.38,314.74,267.71,346.81,4.06,-47.53,36.93,6.8,5.24,8.03,475.3,459.3,504.0,241018,104067,345266,124.0,150.6,154.4,0,2.0
2023-08-18,21:00:00,2023-08-18 21:00:00,1,6.21,5.15,6.79,3.74,0.39,5.58,-3.91,-4.99,-0.11,-1.81,-6.12,1.09,317.33,11.94,342.58,-17.62,-85.78,9.54,6.69,4.97,7.58,476.1,462.9,484.6,231309,179891,259855,124.0,150.6,154.4,15,3.0
2023-08-18,22:00:00,2023-08-18 22:00:00,1,5.92,5.07,6.36,3.75,1.97,4.74,-4.05,-5.43,-2.46,0.87,-3.54,3.02,314.48,290.7,330.71,8.52,-42.03,30.28,5.33,4.94,5.72,466.1,460.8,472.1,181151,171831,208048,124.0,150.6,154.4,15,3.0
2023-08-18,23:00:00,2023-08-18 23:00:00,1,3.19,2.98,5.66,1.61,-0.86,3.51,-1.89,-4.41,-0.96,1.77,-0.51,2.74,307.58,244.81,339.09,33.57,-9.47,53.94,7.69,5.08,9.78,512.0,465.7,522.9,315928,139404,500817,124.0,150.6,154.4,0,2.0
2023-08-19,00:00:00,2023-08-19 00:00:00,1,2.93,2.46,3.18,2.23,1.13,2.62,-1.66,-2.28,-0.56,0.35,-1.85,1.65,324.14,13.84,344.36,7.04,-49.08,31.37,6.77,4.88,9.32,499.7,490.7,516.8,260771,99221,467096,131.0,150.6,154.3,9,2.333
2023-08-19,01:00:00,2023-08-19 01:00:00,1,3.04,1.72,3.16,1.42,-2.51,2.08,-2.06,-2.71,0.7,1.41,0.33,2.63,290.37,24.25,331.1,27.98,6.73,73.26,7.55,5.83,9.6,512.9,503.0,522.8,325745,127131,509625,131.0,150.6,154.3,9,2.333
2023-08-19,02:00:00,2023-08-19 02:00:00,1,3.51,1.74,3.71,2.44,0.49,2.75,-2.2,-2.58,-1.2,1.04,0.49,1.69,314.82,297.98,323.5,18.41,9.81,35.27,7.32,4.85,8.8,499.3,493.3,518.2,234600,101390,461172,131.0,150.6,154.3,0,1.333
2023-08-19,03:00:00,2023-08-19 03:00:00,1,3.26,2.31,3.47,2.29,-2.93,2.73,-1.93,-2.41,-0.82,-0.02,-1.3,1.17,275.02,189.99,325.18,-0.3,-26.04,20.18,7.63,7.21,9.79,496.1,492.7,516.3,257568,223910,481047,131.0,150.6,154.3,5,1.333
2023-08-19,04:00:00,2023-08-19 04:00:00,1,3.02,2.54,3.48,2.38,-1.28,2.91,-1.85,-2.9,-1.1,0.47,-0.77,1.08,315.09,241.41,337.35,8.89,-14.27,18.47,7.08,4.26,7.93,471.5,462.4,505.2,243881,94862,381410,131.0,150.6,154.3,5,1.333
2023-08-19,05:00:00,2023-08-19 05:00:00,1,3.2,2.95,3.39,2.84,2.1,3.08,-1.27,-2.14,-0.76,0.61,-0.4,1.15,335.63,314.41,345.6,10.89,-7.78,20.62,7.34,5.97,8.06,471.5,462.0,481.4,310148,196253,427075,131.0,150.6,154.3,0,1.333
2023-08-19,06:00:00,2023-08-19 06:00:00,1,3.19,2.98,3.43,1.77,0.45,2.89,-1.97,-2.5,-0.86,1.55,0.12,2.54,312.34,281.6,343.57,28.26,2.27,52.33,4.74,4.11,7.94,463.7,458.4,480.3,182284,154050,405891,131.0,150.6,154.3,4,1.0
2023-08-19,07:00:00,2023-08-19 07:00:00,1,3.08,2.74,3.25,1.63,-2.18,2.54,-2.03,-3.17,-0.81,0.3,-2.12,1.84,297.33,187.38,332.43,5.62,-55.87,36.91,5.7,4.55,8.86,462.6,453.0,511.4,201406,148987,425129,131.0,150.6,154.3,4,1.0
2023-08-19,08:00:00,2023-08-19 08:00:00,1,3.11,2.92,3.26,1.31,-0.65,2.99,-2.44,-3.22,-0.19,0.84,-0.62,2.23,297.3,258.57,356.38,16.53,-11.99,45.93,4.94,3.9,6.55,459.5,439.6,480.3,170559,121417,242166,131.0,150.6,154.3,0,1.333
2023-08-19,09:00:00,2023-08-19 09:00:00,1,3.03,2.58,3.29,2.11,0.7,2.93,-0.71,-2.38,1.17,-0.68,-2.67,3.06,343.42,0.08,354.87,-13.19,-62.27,67.72,4.96,3.96,6.33,454.6,440.9,462.3,166291,116219,206557,131.0,150.6,154.3,5,1.333
2023-08-19,10:00:00,2023-08-19 10:00:00,1,3.28,3.06,3.49,3.09,1.12,3.32,-0.03,-2.08,1.86,0.29,-2.35,1.19,359.11,1.07,359.42,5.1,-48.43,21.25,3.98,3.74,5.01,436.1,432.9,455.4,136805,122517,171923,131.0,150.6,154.3,5,1.333
2023-08-19,11:00:00,2023-08-19 11:00:00,1,3.57,3.39,3.95,3.06,1.25,3.57,-1.52,-3.12,0.09,0.66,-0.77,2.51,333.12,1.3,357.61,10.88,-13.14,39.92,4.24,3.95,5.18,434.5,431.0,452.9,129705,114771,187291,131.0,150.6,154.3,0,1.333
2023-08-19,12:00:00,2023-08-19 12:00:00,1,4.08,3.92,4.61,1.64,-0.68,3.84,-2.49,-3.94,-0.58,2.79,0.16,3.72,308.46,259.72,347.4,42.27,2.3,61.31,5.16,3.99,6.5,451.9,429.7,474.4,156338,109314,203294,131.0,150.6,154.3,5,1.333
2023-08-19,13:00:00,2023-08-19 13:00:00,1,5.24,4.53,6.11,1.0,-0.81,2.91,-3.59,-5.01,-1.74,3.75,2.64,4.67,287.91,259.77,310.35,45.85,30.54,68.25,6.81,5.71,7.97,462.2,449.1,489.8,142002,120146,206237,131.0,150.6,154.3,5,1.333
2023-08-19,14:00:00,2023-08-19 14:00:00,1,6.13,5.54,6.53,0.13,-3.72,4.9,-4.71,-6.46,2.38,3.07,-0.08,5.42,276.09,7.41,331.91,31.63,-0.82,68.29,7.84,6.66,8.38,477.3,434.8,508.7,144855,83158,194667,131.0,150.6,154.3,0,1.333
2023-08-19,15:00:00,2023-08-19 15:00:00,1,6.53,5.79,7.21,0.16,-5.24,4.94,-3.39,-5.55,2.82,3.96,1.3,5.67,286.68,6.32,354.0,37.26,10.45,61.23,7.92,6.07,9.3,460.5,429.5,485.7,130440,78368,191242,131.0,150.6,154.3,5,1.333
2023-08-19,16:00:00,2023-08-19 16:00:00,1,6.82,6.4,7.39,-2.33,-5.4,0.52,-5.6,-6.65,-3.59,1.86,0.08,4.31,245.76,213.63,275.32,16.4,0.73,40.52,9.14,8.49,10.01,476.4,466.8,486.3,132794,114980,164982,131.0,150.6,154.3,5,1.333
2023-08-19,17:00:00,2023-08-19 17:00:00,1,7.89,7.29,8.18,2.24,-3.55,4.51,-6.03,-7.54,-3.06,4.36,1.62,5.39,286.32,242.74,328.38,35.96,11.55,45.24,8.81,8.13,9.91,469.7,437.1,483.3,127425,54860,176117,131.0,150.6,154.3,0,1.333
2023-08-19,18:00:00,2023-08-19 18:00:00,1,8.38,7.24,8.72,-6.44,-7.3,2.64,-0.54,-6.38,2.1,-5.17,-6.13,4.18,195.46,157.19,293.57,-37.43,-47.54,34.37,9.76,8.64,11.37,471.2,433.9,481.7,81565,26398,106397,131.0,150.6,154.3,15,3.0
2023-08-19,19:00:00,2023-08-19 19:00:00,1,8.62,7.71,9.01,-6.5,-7.05,4.92,-4.41,-8.26,0.13,-3.17,-6.21,4.89,223.14,171.39,316.67,-21.7,-45.57,36.29,6.99,3.88,8.52,484.3,469.5,505.2,163182,97008,237037,131.0,150.6,154.3,15,3.0
2023-08-19,20:00:00,2023-08-19 20:00:00,1,7.66,6.87,8.24,-2.46,-5.27,2.69,-6.37,-7.53,-2.72,1.97,-2.54,6.68,257.21,225.69,296.67,15.02,-18.98,66.64,4.18,2.64,5.31,490.0,478.0,498.8,158807,115664,199924,131.0,150.6,154.3,0,1.333
2023-08-19,21:00:00,2023-08-19 21:00:00,1,6.61,5.99,7.33,-0.05,-3.27,5.41,-5.21,-6.66,-2.88,3.16,0.19,5.5,272.91,222.1,327.85,27.9,1.64,53.91,3.67,2.66,4.31,486.6,476.7,495.0,150043,116242,190954,131.0,150.6,154.3,7,2.0
2023-08-19,22:00:00,2023-08-19 22:00:00,1,7.08,6.74,7.51,-3.38,-5.47,-0.64,-5.16,-6.75,-3.18,2.88,-0.18,5.48,238.36,211.88,263.17,23.97,-1.36,53.66,2.78,1.97,3.71,494.3,483.4,497.2,121734,112277,148168,131.0,150.6,154.3,7,2.0
2023-08-19,23:00:00,2023-08-19 23:00:00,1,7.6,7.07,8.55,-6.19,-7.57,-3.47,-3.76,-6.42,3.91,-1.29,-4.77,2.1,199.78,147.47,239.59,-9.84,-35.22,17.13,2.81,2.17,3.69,491.9,482.2,498.5,135112,122138,165141,131.0,150.6,154.3,0,1.333
2023-08-20,00:00:00,2023-08-20 00:00:00,1,8.2,7.44,8.69,-6.91,-7.82,-3.82,0.39,-4.5,5.59,-4.45,-5.68,-1.84,177.08,120.59,205.57,-33.05,-46.75,-14.33,1.96,1.46,3.13,498.8,489.7,502.9,124256,103527,140548,102.0,146.3,149.8,18,3.333
2023-08-20,01:00:00,2023-08-20 01:00:00,1,7.06,4.5,7.95,-5.21,-7.05,-0.99,-3.57,-5.65,4.66,-1.56,-5.22,0.58,198.84,99.83,238.3,-13.03,-70.34,4.91,2.14,0.9,3.04,500.4,490.9,506.5,121993,88671,137520,102.0,146.3,149.8,18,3.333
2023-08-20,02:00:00,2023-08-20 02:00:00,1,6.36,2.84,8.56,-0.25,-4.96,2.68,-4.54,-7.88,2.85,3.25,-3.22,4.79,258.13,86.8,294.67,26.8,-45.12,61.61,2.89,0.94,4.62,496.6,481.9,505.3,124275,82663,188207,102.0,146.3,149.8,0,1.333
2023-08-20,03:00:00,2023-08-20 03:00:00,1,8.4,7.34,9.03,3.73,0.7,7.93,-5.48,-8.59,2.37,3.85,-0.15,5.83,318.47,0.39,356.88,29.49,-0.97,43.52,3.08,0.38,6.7,503.6,493.0,525.8,111647,28561,243082,102.0,146.3,149.8,12,2.667
2023-08-20,04:00:00,2023-08-20 04:00:00,1,8.18,7.07,8.59,6.17,2.88,7.45,1.3,-8.06,6.5,3.63,-1.42,5.68,2.69,4.35,353.92,27.09,-11.8,44.66,1.97,0.4,4.51,505.3,497.3,526.4,90844,29985,149436,102.0,146.3,149.8,12,2.667
2023-08-20,05:00:00,2023-08-20 05:00:00,1,9.19,7.09,10.33,6.58,-2.39,9.16,-2.9,-8.0,2.21,4.95,-0.11,6.74,332.89,2.63,358.02,32.24,-0.86,41.82,1.92,0.1,9.21,532.8,506.0,599.9,91623,5000,440226,102.0,146.3,149.8,0,1.333
2023-08-20,06:00:00,2023-08-20 06:00:00,1,9.15,8.69,9.45,6.52,4.23,8.02,-2.02,-6.87,1.87,5.48,2.57,7.14,341.27,1.42,357.32,38.09,16.82,52.43,0.95,0.14,3.36,519.0,508.8,595.6,60262,5000,172111,102.0,146.3,149.8,5,1.333
2023-08-20,07:00:00,2023-08-20 07:00:00,1,8.59,8.1,8.84,3.78,-0.63,6.81,-4.44,-6.05,-0.83,6.13,4.07,7.64,308.69,10.27,349.62,46.06,29.85,61.14,0.13,0.1,1.78,597.2,523.5,604.9,12959,5000,75554,102.0,146.3,149.8,5,1.333
2023-08-20,08:00:00,2023-08-20 08:00:00,1,7.63,7.17,8.1,4.71,1.19,6.74,-1.96,-5.21,7.49,3.64,-3.35,6.02,351.35,17.02,355.24,29.13,-26.6,51.35,0.17,0.1,2.28,595.2,487.6,604.4,10527,5000,133474,102.0,146.3,149.8,0,1.333
2023-08-20,09:00:00,2023-08-20 09:00:00,1,6.41,6.19,7.27,5.02,-0.27,6.25,0.79,-6.21,5.74,1.13,-2.61,5.23,4.52,0.59,351.86,10.45,-25.41,62.92,0.57,0.1,3.13,589.4,481.6,601.6,18015,5000,146573,102.0,146.3,149.8,7,2.0
2023-08-20,10:00:00,2023-08-20 10:00:00,1,6.81,6.4,6.99,2.82,0.15,5.28,-3.26,-6.11,1.98,4.36,0.8,6.57,316.34,5.66,348.67,42.1,7.13,71.91,0.63,0.1,2.93,595.4,487.9,605.2,18499,5000,143149,102.0,146.3,149.8,7,2.0
2023-08-20,11:00:00,2023-08-20 11:00:00,1,7.02,6.68,7.4,0.78,-1.97,4.08,-2.93,-5.09,0.17,5.79,3.76,7.24,289.68,2.53,335.76,57.59,33.08,84.28,2.89,0.11,4.17,488.7,483.1,603.2,139378,5307,243296,102.0,146.3,149.8,0,1.333
2023-08-20,12:00:00,2023-08-20 12:00:00,1,6.94,6.67,7.11,3.59,1.33,5.58,-3.74,-5.68,2.51,4.25,0.17,5.9,317.53,26.0,341.35,37.96,1.52,57.54,0.19,0.1,1.11,596.2,534.5,607.4,13437,5000,27793,102.0,146.3,149.8,4,1.0
2023-08-20,13:00:00,2023-08-20 13:00:00,1,7.13,6.78,7.41,5.24,2.88,6.75,-3.6,-6.34,-1.22,3.21,1.11,4.54,323.97,294.4,349.75,26.68,9.02,39.05,0.17,0.1,2.33,592.0,521.9,600.4,6865,5000,192452,102.0,146.3,149.8,4,1.0
2023-08-20,14:00:00,2023-08-20 14:00:00,1,7.22,6.55,7.79,6.15,0.53,6.89,-1.75,-4.99,5.42,1.79,-4.08,4.27,353.76,0.83,359.07,14.61,-36.66,33.67,0.89,0.12,2.44,532.3,491.0,596.4,58757,5000,206356,102.0,146.3,149.8,0,1.333
