Timestamp,Date,Time,Kp,ap,SN,F10.7obs,F10.7adj,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
2019-05-15 00:00:00,2019-05-15,00:00:00,2.333,9,18,74.0,75.6,1,8.6,5.86,10.12,2.37,-7.76,7.5,-1.99,-8.51,6.85,6.66,2.88,9.05,323.47,13.85,355.23,54.49,18.94,73.13,8.88,4.48,16.97,432.2,408.1,482.9,36745,6180,265801
2019-05-16 00:00:00,2019-05-16,00:00:00,3.0,15,13,73.6,75.3,1,5.95,3.09,8.29,-1.68,-6.32,2.15,3.51,-5.98,6.04,0.82,-6.94,6.78,129.93,43.54,316.48,8.22,-69.95,74.17,11.91,5.51,17.85,440.6,413.8,461.5,230011,71024,322189
2019-05-17 00:00:00,2019-05-17,00:00:00,2.333,9,13,72.1,73.8,1,4.94,3.84,5.9,2.39,-3.08,4.88,2.87,-2.34,4.88,2.16,-1.7,5.16,41.31,7.35,349.92,24.06,-18.78,79.08,11.84,6.95,19.62,448.3,391.8,468.7,176382,61881,274823
2019-05-18 00:00:00,2019-05-18,00:00:00,2.0,7,12,70.6,72.2,1,5.34,3.5,7.08,0.23,-5.09,5.98,3.84,0.05,6.61,1.22,-4.42,4.36,87.5,22.38,177.76,14.63,-43.01,67.65,2.49,0.85,11.07,413.9,376.8,440.8,43141,18316,174369
2019-05-19 00:00:00,2019-05-19,00:00:00,1.667,6,0,68.0,69.6,1,4.8,3.37,7.41,-1.79,-5.22,3.75,3.4,0.4,6.02,0.17,-5.71,3.44,109.96,32.58,175.55,2.08,-54.7,46.17,2.28,0.6,15.49,383.8,355.9,418.7,34646,18955,52940
2019-05-20 00:00:00,2019-05-20,00:00:00,3.333,18,0,68.7,70.4,1,5.61,3.82,8.67,-1.27,-5.15,3.19,3.96,-5.99,8.0,1.75,-4.29,7.08,117.9,52.72,272.08,19.59,-40.24,77.47,4.46,1.66,14.17,390.9,358.7,413.7,64247,32924,129984
2019-05-21 00:00:00,2019-05-21,00:00:00,1.667,6,0,68.0,69.7,1,4.38,2.68,4.99,-3.45,-4.55,3.0,2.09,-0.47,4.72,0.94,-2.59,2.64,142.09,44.21,187.84,13.51,-45.28,36.44,2.88,1.62,4.67,404.5,350.4,430.1,46206,18889,97261
2019-05-22 00:00:00,2019-05-22,00:00:00,1.667,6,0,67.3,69.0,1,2.92,0.86,4.8,1.45,-3.94,3.27,-1.22,-4.02,2.88,-0.33,-3.01,2.14,287.32,84.65,345.72,-7.09,-62.56,57.6,8.36,2.45,11.28,359.5,342.6,396.4,28938,22466,77385
2019-05-23 00:00:00,2019-05-23,00:00:00,1.667,6,0,66.5,68.2,1,4.96,2.13,6.62,2.46,-3.98,4.96,-2.71,-6.08,2.58,-0.69,-5.33,3.66,310.84,3.59,354.77,-8.34,-66.4,59.31,6.54,2.1,13.93,341.3,328.8,370.4,30418,20156,51648
2019-05-24 00:00:00,2019-05-24,00:00:00,1.667,6,0,66.4,68.1,1,4.07,1.34,5.67,2.08,-1.79,5.04,-2.68,-5.35,0.13,-0.14,-3.97,2.7,309.18,9.57,355.16,-2.35,-53.69,38.01,5.95,2.52,16.8,339.2,309.2,361.7,26932,18127,95165
2019-05-25 00:00:00,2019-05-25,00:00:00,1.667,6,0,67.0,68.7,1,3.25,0.59,4.74,-1.31,-3.95,2.37,0.77,-2.71,3.42,-0.01,-3.3,2.98,148.52,3.87,356.06,-0.14,-70.37,63.24,8.67,4.38,14.41,312.5,297.2,343.0,22538,14730,32984
2019-05-26 00:00:00,2019-05-26,00:00:00,3.0,15,0,68.0,69.8,1,1.76,0.53,6.46,0.09,-3.14,2.16,0.07,-2.11,2.39,0.14,-4.17,5.9,99.54,2.89,355.86,4.8,-78.93,84.74,5.13,2.9,18.58,320.8,299.0,362.2,17204,11173,80366
2019-05-27 00:00:00,2019-05-27,00:00:00,3.333,18,0,67.5,69.3,1,10.2,5.19,12.0,0.27,-3.16,3.57,-9.27,-11.92,3.3,0.52,-8.38,9.76,273.07,49.07,330.51,2.71,-80.75,82.14,6.1,2.92,22.46,345.8,312.3,379.0,22493,8038,56044
2019-05-28 00:00:00,2019-05-28,00:00:00,3.0,15,0,68.1,70.0,1,6.86,3.97,9.38,1.57,-3.37,5.82,-5.47,-7.38,1.14,1.2,-7.19,7.57,286.55,16.94,347.9,10.89,-78.36,70.98,6.48,3.64,14.81,339.7,306.0,463.6,44350,29424,170014
2019-05-29 00:00:00,2019-05-29,00:00:00,3.667,22,7,68.2,70.1,1,4.39,1.77,9.86,2.03,-3.8,5.54,-2.5,-7.71,3.1,-0.73,-7.99,6.88,306.49,3.75,357.6,-11.13,-76.86,75.46,6.21,4.26,12.35,531.4,461.7,560.1,155412,77553,204829
2019-05-30 00:00:00,2019-05-30,00:00:00,3.0,15,0,68.7,70.6,1,3.77,1.57,4.98,0.49,-4.29,3.31,-1.64,-4.63,3.31,-0.02,-4.43,3.8,289.45,6.67,356.48,-0.25,-82.81,73.47,5.34,4.2,6.78,516.0,466.2,547.6,156931,110724,204299
2019-05-31 00:00:00,2019-05-31,00:00:00,1.667,6,0,68.7,70.6,1,2.34,1.28,3.87,0.91,-2.49,2.71,-1.15,-3.59,2.72,-0.44,-2.6,2.25,303.54,1.11,356.06,-10.72,-72.03,53.39,2.83,1.16,6.41,429.8,368.3,507.1,60301,32222,177369
2019-06-01 00:00:00,2019-06-01,00:00:00,1.0,4,0,69.7,71.7,1,2.71,1.77,3.54,1.42,-1.31,2.79,-1.51,-3.09,2.45,-0.3,-2.99,2.06,322.22,2.34,357.49,-6.75,-67.6,69.54,1.51,0.26,6.78,350.8,333.4,388.6,24737,5025,47363
2019-06-02 00:00:00,2019-06-02,00:00:00,2.0,7,0,69.9,71.9,1,2.71,1.45,4.69,0.35,-2.59,4.13,-1.63,-3.17,2.27,-0.62,-3.04,2.18,285.89,2.88,358.3,-15.22,-71.06,43.15,4.81,2.48,7.34,321.0,294.2,339.3,22791,17505,33269
2019-06-03 00:00:00,2019-06-03,00:00:00,1.333,5,0,69.8,71.8,1,3.54,1.47,6.22,-0.84,-3.77,2.21,-1.34,-5.74,3.94,-0.01,-3.83,4.51,248.32,17.2,349.92,-0.12,-76.32,69.1,9.71,2.97,18.41,310.3,294.3,328.8,19341,9829,41880
2019-06-04 00:00:00,2019-06-04,00:00:00,2.333,9,0,70.0,72.1,1,5.5,2.21,8.06,-0.39,-4.16,2.28,-0.44,-7.35,6.01,-2.54,-7.3,3.56,202.69,12.2,327.6,-31.34,-79.64,38.62,7.12,3.22,12.75,329.7,320.3,347.7,20370,10848,61948
2019-06-05 00:00:00,2019-06-05,00:00:00,2.333,9,0,69.8,71.8,1,4.19,2.49,5.84,2.0,-3.98,3.94,-3.17,-5.3,0.38,0.07,-3.75,3.11,302.06,5.24,354.61,0.94,-55.7,54.37,4.12,3.02,7.98,329.5,309.1,357.1,30243,10974,66914
2019-06-06 00:00:00,2019-06-06,00:00:00,0.667,3,0,68.9,70.9,1,2.7,0.83,4.21,1.43,-1.95,3.3,-1.16,-3.95,0.66,-0.55,-2.16,1.62,313.2,2.59,355.08,-14.17,-71.71,25.68,3.98,2.76,6.07,312.7,293.4,329.2,20706,9022,30319
2019-06-07 00:00:00,2019-06-07,00:00:00,1.333,5,0,68.9,71.0,1,5.24,1.98,6.51,0.13,-2.49,2.3,-4.75,-6.47,0.81,-1.42,-3.24,1.76,272.42,27.92,344.58,-20.52,-51.97,21.28,7.64,2.92,13.38,293.8,282.6,308.7,11750,8059,32318
2019-06-08 00:00:00,2019-06-08,00:00:00,5.333,56,0,68.4,70.5,1,7.44,3.37,18.22,-1.11,-7.96,7.71,-4.48,-13.86,13.75,-0.45,-16.11,13.6,258.06,70.96,331.59,-4.58,-74.74,75.13,11.32,5.9,59.06,298.8,269.3,421.2,25544,7507,155833
2019-06-09 00:00:00,2019-06-09,00:00:00,3.0,15,0,68.4,70.5,1,3.95,2.94,9.65,1.75,-2.12,4.86,-2.79,-8.12,2.44,0.19,-5.43,3.5,304.59,4.13,356.53,2.54,-70.18,46.88,3.07,1.63,7.65,412.3,365.2,472.0,56684,20292,186453
2019-06-10 00:00:00,2019-06-10,00:00:00,0.667,3,0,68.9,71.0,1,2.91,1.71,4.13,0.56,-3.15,2.66,-1.76,-3.61,1.33,-0.1,-2.69,2.52,283.17,1.78,358.0,-2.21,-74.32,60.48,2.41,1.33,6.19,344.6,324.3,376.3,20901,13034,43736
2019-06-11 00:00:00,2019-06-11,00:00:00,0.667,3,0,69.7,71.9,1,3.2,2.54,4.35,1.03,-2.14,3.95,-2.16,-3.55,0.96,-0.17,-3.92,2.79,292.4,2.12,357.79,-3.19,-82.66,53.54,5.08,2.84,9.59,311.8,302.4,338.0,17989,11556,41146
2019-06-12 00:00:00,2019-06-12,00:00:00,1.333,5,0,69.5,71.6,1,4.79,1.35,7.95,-0.76,-6.84,4.51,1.55,-3.98,6.19,0.51,-4.32,2.93,119.09,14.82,352.02,6.51,-63.5,51.82,5.16,2.07,24.33,329.5,298.7,403.1,32430,16543,92669
2019-06-13 00:00:00,2019-06-13,00:00:00,4.0,27,0,67.5,69.6,1,6.62,3.72,8.45,-3.92,-6.76,2.18,3.9,-2.93,7.2,0.32,-6.65,6.4,134.39,45.98,265.64,2.9,-77.2,74.75,6.54,3.33,10.0,418.9,381.9,484.5,91270,45793,172230
2019-06-14 00:00:00,2019-06-14,00:00:00,2.333,9,0,68.0,70.1,1,4.18,1.87,7.52,-1.82,-5.32,2.2,2.92,-2.41,6.93,0.19,-3.93,6.15,123.54,30.37,255.07,2.85,-57.75,68.36,6.46,5.32,9.25,456.2,424.7,483.5,114534,57902,146557
2019-06-15 00:00:00,2019-06-15,00:00:00,1.333,5,0,66.7,68.8,1,4.29,2.22,5.86,-1.02,-4.74,4.39,2.55,-1.64,5.61,-0.3,-3.76,2.07,112.63,2.9,356.55,-4.42,-44.04,27.9,5.77,1.77,7.3,378.1,342.1,428.1,41732,25740,118793
2019-06-16 00:00:00,2019-06-16,00:00:00,1.333,5,0,65.9,68.0,1,3.33,1.65,4.66,-2.14,-4.07,2.82,-0.02,-4.08,2.05,0.11,-2.65,2.9,183.04,6.13,294.75,2.04,-69.75,48.37,1.77,0.53,4.71,358.3,332.8,405.5,38942,11653,102042
2019-06-17 00:00:00,2019-06-17,00:00:00,1.0,4,0,66.3,68.5,1,3.6,1.97,6.33,-1.57,-5.06,2.06,2.28,-1.42,5.83,-0.41,-3.62,4.27,122.33,8.06,340.49,-7.04,-72.94,51.11,5.47,1.04,7.78,332.3,321.6,349.2,18541,11673,41753
2019-06-18 00:00:00,2019-06-18,00:00:00,1.333,5,0,67.0,69.2,1,4.56,2.97,5.68,-3.01,-5.05,0.58,1.04,-3.74,4.86,1.08,-3.51,4.79,164.1,78.51,255.66,14.15,-65.01,62.81,6.57,3.07,13.33,312.4,301.6,328.7,25314,13690,64225
2019-06-19 00:00:00,2019-06-19,00:00:00,1.0,4,0,68.0,70.2,1,3.91,1.54,5.0,1.92,-3.81,4.67,-1.5,-4.0,3.61,0.54,-3.06,3.73,320.73,5.87,355.67,7.89,-73.8,68.85,11.75,8.81,17.9,323.1,313.2,340.9,32443,17844,50030
2019-06-20 00:00:00,2019-06-20,00:00:00,2.333,9,0,67.7,69.9,1,6.73,4.77,8.08,1.35,-4.47,5.47,-5.96,-7.21,0.21,0.0,-6.45,4.14,279.44,175.09,329.73,0.01,-67.91,38.82,7.37,5.01,16.37,354.9,339.4,382.6,33400,19741,57165
2019-06-21 00:00:00,2019-06-21,00:00:00,2.333,9,0,66.5,68.6,1,5.56,2.41,8.32,0.35,-4.09,4.04,-4.63,-7.7,3.79,0.48,-4.57,7.76,274.99,30.96,337.17,5.48,-51.94,75.49,8.22,3.12,20.4,374.7,342.1,411.1,59758,26646,125376
2019-06-22 00:00:00,2019-06-22,00:00:00,1.667,6,0,66.4,68.6,1,3.39,0.93,4.43,-0.59,-3.73,3.77,1.25,-2.1,3.68,-0.34,-3.0,2.43,96.03,1.6,356.08,-6.95,-75.25,40.79,4.13,2.63,7.32,381.0,350.8,422.8,39518,20562,94056
2019-06-23 00:00:00,2019-06-23,00:00:00,1.333,5,0,67.2,69.5,1,3.7,0.97,4.71,-3.15,-4.6,3.05,0.51,-4.05,3.18,-0.15,-2.41,2.36,171.31,14.1,355.11,-2.29,-45.48,42.36,4.2,2.69,16.45,335.4,321.5,354.5,25673,11091,41181
2019-06-24 00:00:00,2019-06-24,00:00:00,1.667,6,11,67.9,70.2,1,4.45,1.71,6.03,-2.88,-4.94,2.7,0.86,-5.53,3.89,0.18,-3.8,2.7,173.24,58.87,314.41,2.6,-61.85,37.01,7.42,3.23,17.12,331.9,318.9,352.6,33713,11905,109076
2019-06-25 00:00:00,2019-06-25,00:00:00,1.333,5,12,67.9,70.2,1,3.95,1.26,5.22,-2.23,-4.07,4.0,2.06,-3.77,3.79,-0.41,-3.87,2.47,132.51,32.97,342.74,-6.31,-84.39,51.11,5.13,2.76,16.92,336.7,316.9,357.7,31756,19193,54383
2019-06-26 00:00:00,2019-06-26,00:00:00,1.667,6,7,68.0,70.3,1,4.18,1.78,6.24,1.74,-4.46,4.5,-2.21,-4.47,3.34,0.02,-5.31,4.13,303.15,3.78,355.63,0.22,-71.02,59.14,6.44,4.45,8.95,388.0,328.8,417.7,59713,33177,114553
2019-06-27 00:00:00,2019-06-27,00:00:00,1.333,5,0,67.0,69.3,1,3.29,1.51,4.98,1.7,-2.71,4.16,-1.64,-4.14,0.67,0.16,-3.17,1.97,303.59,11.09,353.39,2.96,-67.75,74.96,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-06-28 00:00:00,2019-06-28,00:00:00,2.0,7,0,68.1,70.4,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-11 00:00:00,2019-09-11,00:00:00,2.0,7,0,68.1,69.0,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-12 00:00:00,2019-09-12,00:00:00,2.0,7,0,69.4,70.3,1,5.32,2.31,5.64,-4.1,-4.81,-0.29,3.22,-2.26,3.99,-0.82,-2.73,0.75,145.28,130.51,262.62,-9.04,-32.48,8.76,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-13 00:00:00,2019-09-13,00:00:00,2.667,12,0,68.3,69.1,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-17 00:00:00,2019-09-17,00:00:00,3.667,22,0,67.5,68.2,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-18 00:00:00,2019-09-18,00:00:00,3.0,15,0,66.3,66.9,1,2.69,1.87,3.28,-2.11,-2.95,0.52,-0.93,-2.5,1.36,-0.7,-2.22,0.96,201.18,146.84,284.63,-15.09,-55.74,24.63,3.97,2.59,4.98,393.0,384.1,415.5,58380,40223,65919
2019-09-19 00:00:00,2019-09-19,00:00:00,1.333,5,0,67.1,67.7,1,3.09,2.5,3.41,-2.8,-3.31,0.03,-0.25,-2.55,0.55,-0.82,-1.76,1.21,192.44,164.17,270.62,-15.07,-33.82,27.55,3.42,3.15,4.08,383.9,376.1,401.5,63199,46530,79320
2019-09-20 00:00:00,2019-09-20,00:00:00,1.0,4,0,67.2,67.7,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-22 00:00:00,2019-09-22,00:00:00,2.333,9,0,68.3,68.8,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-23 00:00:00,2019-09-23,00:00:00,1.333,5,0,66.1,66.6,1,4.27,1.69,5.18,2.13,-1.4,3.94,1.23,-2.6,3.95,2.3,-3.21,4.7,24.59,4.17,355.56,39.56,-55.62,82.85,5.86,3.94,15.86,313.9,309.1,325.0,21430,17531,33741
2019-09-24 00:00:00,2019-09-24,00:00:00,3.667,22,0,67.1,67.5,1,9.13,4.28,17.31,3.59,-10.55,9.89,3.02,-7.96,9.09,-3.35,-15.93,8.68,31.0,5.95,350.24,-23.36,-73.02,75.43,12.67,4.92,39.92,456.5,297.6,505.2,203630,33242,340698
2019-09-25 00:00:00,2019-09-25,00:00:00,2.0,7,0,67.5,67.9,1,4.1,2.28,5.01,1.24,-3.54,4.45,2.45,-0.45,4.42,1.77,-2.11,4.07,69.27,3.49,344.51,25.33,-32.86,74.42,6.16,5.27,7.83,398.8,377.2,498.7,65827,26052,192149
2019-09-26 00:00:00,2019-09-26,00:00:00,2.333,9,0,67.1,67.4,1,2.35,0.83,2.72,1.09,-0.76,2.49,1.05,-1.12,2.36,0.98,-1.06,1.86,36.76,2.41,344.1,26.34,-39.66,80.69,3.83,2.98,5.23,370.6,341.4,392.9,39555,14357,84853
2019-09-27 00:00:00,2019-09-27,00:00:00,5.333,56,0,66.4,66.8,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-29 00:00:00,2019-09-29,00:00:00,3.667,22,0,67.4,67.7,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-09-30 00:00:00,2019-09-30,00:00:00,3.667,22,0,67.9,68.1,1,5.49,3.36,7.39,-2.68,-6.74,3.76,-0.02,-4.55,5.29,-3.85,-6.42,1.07,176.03,25.89,284.57,-42.74,-79.69,14.95,8.42,4.94,11.43,443.1,411.5,495.1,135584,62269,204697
2019-10-01 00:00:00,2019-10-01,00:00:00,4.0,27,6,68.7,68.8,1,4.4,3.84,4.79,-4.12,-4.52,-3.39,1.13,-1.09,3.08,-0.3,-2.17,0.68,165.52,137.78,193.76,-4.05,-29.44,9.36,5.63,5.05,6.57,483.9,466.5,503.7,259040,214094,324686
2019-10-02 00:00:00,2019-10-02,00:00:00,3.0,15,6,68.3,68.4,1,4.31,3.11,5.13,-2.84,-4.17,0.13,1.17,-3.01,4.08,-1.62,-4.48,2.08,162.71,81.52,245.2,-22.24,-78.21,32.37,6.92,6.06,7.7,472.1,460.4,504.9,184810,152927,249000
2019-10-03 00:00:00,2019-10-03,00:00:00,1.667,6,0,68.2,68.3,1,2.79,1.52,4.57,-2.0,-3.79,-0.09,1.46,-2.38,3.21,-1.0,-3.35,0.9,145.77,93.79,240.88,-23.38,-63.57,13.96,9.5,3.17,12.78,411.9,394.4,474.9,50191,32184,196182
2019-10-04 00:00:00,2019-10-04,00:00:00,2.667,12,0,68.1,68.1,1,3.53,2.38,7.88,-2.63,-4.51,3.6,0.22,-3.46,7.51,-0.52,-5.77,3.12,170.11,4.79,355.61,-9.41,-83.9,51.64,11.67,7.34,22.17,399.4,371.9,409.5,36396,26370,95724
2019-10-05 00:00:00,2019-10-05,00:00:00,3.0,15,0,67.8,67.8,1,5.48,1.84,7.57,-2.89,-7.15,3.96,0.38,-5.05,5.0,-0.54,-5.33,5.13,179.24,10.52,355.57,-7.22,-76.63,73.67,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-10-06 00:00:00,2019-10-06,00:00:00,2.0,7,0,67.4,67.3,1,2.3,1.57,4.93,-0.45,-4.32,3.46,-0.63,-2.96,2.8,-0.49,-2.91,2.27,252.68,4.89,353.29,-10.75,-79.99,72.28,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-10-07 00:00:00,2019-10-07,00:00:00,2.667,12,0,67.7,67.6,1,4.12,1.68,6.44,-0.98,-3.44,3.92,-0.85,-4.71,5.49,-0.4,-5.16,5.16,210.09,17.21,352.31,-8.43,-80.69,81.53,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-10-08 00:00:00,2019-10-08,00:00:00,1.667,6,0,67.1,67.0,1,2.77,1.47,4.08,1.41,-3.04,3.14,-0.41,-2.52,2.75,-0.25,-2.58,2.37,348.8,4.48,356.22,-5.41,-70.9,72.43,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-10-09 00:00:00,2019-10-09,00:00:00,3.667,22,0,68.1,67.9,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-10-24 00:00:00,2019-10-24,00:00:00,4.333,32,0,65.0,64.3,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-10-25 00:00:00,2019-10-25,00:00:00,5.333,56,0,68.6,67.9,1,4.02,3.34,4.71,-1.44,-4.12,0.51,0.92,-3.9,3.52,-1.61,-3.29,2.07,163.8,79.75,251.49,-25.49,-55.27,26.15,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
2019-10-26 00:00:00,2019-10-26,00:00:00,4.667,39,0,68.6,67.8,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
